site,animal_div,long,lat,year
1,4,-83.2081,29.3652,2009
2,0,-82.6858,28.6319,2009
4,0,-83.7782,29.8429,2009
6,1,-82.7903,28.881,2009
9,0,-82.8255,28.4675,2009
11,1,-83.9694,29.9671,2009
12,3,-83.4501,29.4989,2009
13,1,-82.7918,28.5889,2009
14,1,-82.8367,29.0986,2009
15,2,-83.9431,29.9367,2009
19,2,-82.7894,28.2895,2009
20,0,-83.8607,29.9938,2009
23,0,-82.8049,28.3865,2009
24,0,-83.6031,29.7685,2009
25,1,-82.7721,28.4748,2009
26,1,-82.7844,28.7906,2009
27,3,-83.9362,29.985,2009
29,1,-82.7399,28.6556,2009
32,0,-84.114,30.0717,2009
36,2,-83.8957,29.9901,2009
39,1,-82.7488,28.4081,2009
40,1,-83.6312,29.8412,2009
42,1,-82.804,28.7075,2009
43,0,-84.0104,29.9649,2009
45,4,-82.7793,28.6406,2009
47,0,-83.6985,29.9244,2009
48,1,-84.0408,30.0611,2009
50,3,-82.7408,28.8894,2009
51,0,-82.779,28.3318,2009
53,0,-82.7155,28.513,2009
55,0,-82.8023,28.3056,2009
56,1,-83.4156,29.5468,2009
57,0,-82.8057,28.5325,2009
58,1,-82.7715,28.697,2009
60,0,-83.4276,29.6573,2009
61,0,-82.6723,28.5707,2009
62,2,-82.8374,29.0737,2009
63,1,-83.6787,29.8603,2009
64,0,-83.9372,30.0092,2009
66,2,-82.7617,28.8765,2009
67,1,-82.8504,28.3782,2009
69,1,-82.7895,28.5581,2009
70,0,-82.829,29.0902,2009
71,1,-84.0598,29.9375,2009
72,1,-84.1621,30.0479,2009
76,1,-83.6249,29.746,2009
77,3,-82.7446,28.6275,2009
79,1,-83.7372,29.8823,2009
82,0,-82.8288,28.8487,2009
84,1,-83.8336,29.9179,2009
85,1,-82.7028,28.4624,2009
86,1,-82.71,28.883,2009
87,0,-82.8448,28.3559,2009
88,2,-83.6169,29.8094,2009
89,1,-82.7601,28.504,2009
90,1,-82.8155,28.7817,2009
93,0,-82.8179,28.5602,2009
96,1,-84.0095,30.0698,2009
99,2,-82.7659,28.3127,2009
101,0,-82.7198,28.5351,2009
103,1,-82.8217,28.3254,2009
104,0,-83.4176,29.6062,2009
105,1,-82.7557,28.5815,2009
106,1,-82.7603,28.6882,2009
109,2,-82.7277,28.6179,2009
110,3,-82.8211,29.0623,2009
114,1,-82.7269,28.6426,2009
115,1,-82.7514,28.2671,2009
116,1,-83.7405,29.8377,2009
118,0,-82.7731,28.8272,2009
119,0,-82.8088,28.4026,2009
120,0,-83.6234,29.7854,2009
121,0,-82.8453,28.4602,2009
123,0,-83.933,29.9643,2009
4,0,-82.8236,28.6847,2010
7,1,-82.8038,28.7223,2010
8,0,-82.7648,28.4435,2010
10,0,-82.7921,29.0765,2010
11,1,-82.7916,28.9255,2010
18,0,-83.6646,29.8871,2010
21,2,-84.03,29.9841,2010
22,0,-84.0338,30.0651,2010
23,1,-82.8087,28.8192,2010
24,0,-82.8504,28.4434,2010
25,0,-83.4059,29.5422,2010
26,0,-82.8468,29.0835,2010
32,2,-82.7578,28.3371,2010
34,1,-83.7785,29.8585,2010
38,1,-84.0895,30.0426,2010
43,0,-82.7667,28.891,2010
46,0,-83.2581,29.3799,2010
47,0,-82.703,28.5459,2010
49,0,-83.9215,29.9826,2010
50,0,-83.7855,29.8794,2010
53,0,-83.6125,29.7452,2010
54,0,-84.1375,30.0443,2010
57,2,-83.6374,29.7825,2010
59,0,-82.6846,28.6674,2010
62,0,-83.3596,29.4924,2010
64,0,-82.7854,28.4198,2010
65,1,-83.9556,29.9311,2010
67,0,-82.8273,28.7813,2010
72,1,-82.7954,28.2397,2010
73,2,-84.0034,29.9645,2010
74,1,-83.9582,30.0306,2010
75,0,-82.775,28.7778,2010
79,4,-82.759,28.8771,2010
83,2,-82.799,28.845,2010
84,1,-82.8113,28.2139,2010
85,0,-83.8252,29.9229,2010
87,0,-82.6828,28.5269,2010
88,2,-82.8276,28.3732,2010
89,1,-83.9531,29.9644,2010
92,1,-82.8271,28.5506,2010
96,2,-82.7534,28.4223,2010
98,0,-83.6953,29.9121,2010
99,0,-82.7209,28.7887,2010
101,0,-83.6513,29.8308,2010
103,1,-82.709,28.6309,2010
104,1,-82.7701,28.3364,2010
106,0,-83.7095,29.8918,2010
108,1,-82.7368,28.674,2010
111,0,-82.7332,28.8124,2010
113,0,-83.8586,29.909,2010
114,2,-83.0222,29.1238,2010
116,2,-82.823,28.3316,2010
117,2,-83.9282,29.9925,2010
120,2,-82.8115,28.6035,2010
123,0,-82.7914,28.7474,2010
125,0,-83.5813,29.7574,2010
126,0,-84.1723,30.0579,2010
